Vrsta,Višina (bc),Teža (t oz),Tip,Hitrost
Bulbasaur,83,222,Običajen,85
Venusaur,236,3215,Leteč,123
Charmander,71,273,Običajen,85
Charizard,201,2910,Običajen,85
Squirtle,59,289,Leteč,123
Blastoise,189,2749,Običajen,85
Butterfree,130,1029,Običajen,85
Pidgey,35,58,Običajen,55
Pidgeot,177,1270,Običajen,55
Pikachu,47,193,Običajen,55
Sandslash,118,948,Ognjen,100
Nidoking,165,1993,Običajen,55
Clefable,154,1286,Običajen,85
Ninetales,130,640,Običajen,55
Golbat,189,1768,Jasnoviden,110
Dugtrio,83,1071,Običajen,85
Meowth,47,135,Običajen,55
Machamp,189,4180,Običajen,55
Golem,165,9645,Jasnoviden,110
Rapidash,201,3054,Ognjen,100
Magneton,118,1929,Običajen,55
Gengar,177,1302,Jasnoviden,110
Onix,1039,6752,Običajen,55
Rhydon,224,3858,Ognjen,100
Gyarados,768,7555,Jasnoviden,110
Ditto,35,129,Običajen,85
Eevee,35,209,Običajen,85
Vaporeon,118,932,Leteč,123
Jolteon,94,788,Jasnoviden,110
Flareon,106,804,Jasnoviden,110
Snorlax,248,14789,Leteč,123
Dragonite,260,6752,Običajen,85
