Ime;P;K;Vrsta;Zvezna država;Regija
Adhirasam;10;50;sladica;Zahodna Bengalija;Vzhodna
Aloo gobi;10;20;glavna jed;Pandžab;Severna
Aloo matar;5;40;glavna jed;Pandžab;Severna
Aloo methi;10;40;glavna jed;Pandžab;Severna
Aloo shimla mirch;10;40;glavna jed;Pandžab;Severna
Aloo tikki;5;20;glavna jed;Pandžab;Severna
Alu Pitika;5;20;glavna jed;Asam;Severovzhodna
Amti;10;45;glavna jed;Maharaštra;Zahodna
Anarsa;10;50;sladica;Maharaštra;Zahodna
Ariselu;15;75;sladica;Andra Pradeš;Južna
Attu;150;25;prigrizek;Andra Pradeš;Južna
Avial;30;45;glavna jed;Kerala;Južna
Bajri no rotlo;10;10;glavna jed;Gudžarat;Zahodna
Balu shahi;45;25;sladica;Zahodna Bengalija;Vzhodna
Bandar laddu;5;35;sladica;Andra Pradeš;Južna
Basundi;10;35;sladica;Gudžarat;Zahodna
Bebinca;20;60;sladica;Goa;Zahodna
Beef Fry;10;60;glavna jed;Kerala;Južna
Bengena Pitika;;;glavna jed;Asam;Severovzhodna
Bhakri;20;25;glavna jed;Maharaštra;Zahodna
Bhatura;20;20;glavna jed;Pandžab;Severna
Bhindi masala;20;30;glavna jed;Pandžab;Severna
Bilahi Maas;10;20;glavna jed;Asam;Severovzhodna
Biryani;30;120;glavna jed;Telangana;Južna
Bisi bele bath;30;45;glavna jed;Karnataka;Južna
Black rice;;;glavna jed;Manipur;Severovzhodna
Bombil fry;;;glavna jed;Maharaštra;Zahodna
Boondi;80;30;sladica;Radžastan;Zahodna
Bora Sawul;;;glavna jed;Asam;Severovzhodna
Brown Rice;15;25;glavna jed;;
Butter chicken;10;35;glavna jed;Delhi;Severna
Chak Hao Kheer;240;45;sladica;Manipur;Severovzhodna
Chakali;10;40;prigrizek;Maharaštra;Zahodna
Cham cham;40;60;sladica;Zahodna Bengalija;Vzhodna
Chana masala;20;30;glavna jed;Pandžab;Severna
Chapati;10;10;glavna jed;Maharaštra;Zahodna
Cheera Doi;;;sladica;Zahodna Bengalija;Vzhodna
Chevdo;20;30;prigrizek;Gudžarat;Zahodna
Chhena jalebi;10;50;sladica;Odiša;Vzhodna
Chhena kheeri;;60;sladica;Odiša;Vzhodna
Chhena poda;10;45;sladica;Odiša;Vzhodna
Chicken razala;10;35;glavna jed;Zahodna Bengalija;Vzhodna
Chicken Tikka;120;45;predjed;Pandžab;Severna
Chicken Tikka masala;10;50;glavna jed;Pandžab;Severna
Chicken Varuval;10;35;glavna jed;Tamil Nadu;Južna
Chikki;10;20;sladica;Maharaštra;Zahodna
Chingri Bhape;15;30;glavna jed;Zahodna Bengalija;Vzhodna
Chingri malai curry;10;40;glavna jed;Zahodna Bengalija;Vzhodna
Chole bhature;20;30;glavna jed;Pandžab;Severna
Chorafali;5;15;prigrizek;Gudžarat;Zahodna
Churma Ladoo;12;40;sladica;Radžastan;Zahodna
Coconut vadi;20;30;sladica;Maharaštra;Zahodna
Copra paak;20;30;glavna jed;Gudžarat;Zahodna
Currivepillai sadam ;10;20;glavna jed;Tamil Nadu;Južna
Daal baati churma;10;90;glavna jed;Radžastan;Zahodna
Daal Dhokli;20;30;glavna jed;Gudžarat;Zahodna
Daal puri;30;30;glavna jed;Zahodna Bengalija;Vzhodna
Dahi vada;30;30;glavna jed;Maharaštra;Zahodna
Dal makhani ;10;60;glavna jed;Pandžab;Severna
Dal tadka;10;30;glavna jed;Pandžab;Severna
Dalithoy;5;20;glavna jed;Maharaštra;Zahodna
Dharwad pedha;20;60;sladica;Karnataka;Južna
Dhokla;10;20;prigrizek;Gudžarat;Zahodna
Dhondas;10;50;sladica;Maharaštra;Zahodna
Doodhpak;10;60;sladica;Gudžarat;Zahodna
Dosa;360;90;prigrizek;;Južna
Double ka meetha;20;30;sladica;Telangana;Južna
Dudhi halwa;15;30;sladica;Gudžarat;Zahodna
Dum aloo;20;50;glavna jed;Džamu in Kašmir;Severna
Fara;10;60;prigrizek;Čatisgar;Osrednja
Farsi Puri;;;glavna jed;Gudžarat;Zahodna
Gajar ka halwa;15;60;sladica;Pandžab;Severna
Galho;5;15;glavna jed;Nagaland;Severovzhodna
Gatta curry;10;20;glavna jed;Radžastan;Zahodna
Gavvalu;10;30;sladica;Andra Pradeš;Južna
Gheela Pitha;10;30;sladica;Asam;Severovzhodna
Ghevar;15;30;sladica;Radžastan;Zahodna
Ghooghra;;;prigrizek;Gudžarat;Zahodna
Goja;20;60;sladica;Zahodna Bengalija;Vzhodna
Gud papdi;10;20;sladica;Gudžarat;Zahodna
Gulab jamun;15;40;sladica;Zahodna Bengalija;Vzhodna
Halvasan;;;sladica;Gudžarat;Zahodna
Hando Guri;;;sladica;Asam;Severovzhodna
Handwo;20;30;prigrizek;Gudžarat;Zahodna
Haq Maas;20;40;glavna jed;Asam;Severovzhodna
Idiappam;120;30;prigrizek;Tamil Nadu;Južna
Idli;360;90;prigrizek;;Južna
Imarti;10;50;sladica;Zahodna Bengalija;Vzhodna
Jalebi;10;50;sladica;Utar Pradeš;Severna
Jeera Aloo;10;30;glavna jed;Gudžarat;Zahodna
Kaara kozhambu;;;glavna jed;Tamil Nadu;Južna
Kabiraji;;;glavna jed;Zahodna Bengalija;Vzhodna
Kachori;30;60;prigrizek;Utar Pradeš;Severna
Kadai paneer;20;30;glavna jed;Pandžab;Severna
Kadhi pakoda;10;60;glavna jed;Harjana;Severna
Kajjikaya;40;15;sladica;Andra Pradeš;Južna
Kaju katli;10;20;sladica;;
Kakinada khaja;10;30;sladica;Andra Pradeš;Južna
Kalakand;20;30;sladica;Zahodna Bengalija;Vzhodna
Kanji;10;45;glavna jed;Kerala;Južna
Kansar;10;40;glavna jed;Gudžarat;Zahodna
Karela bharta;20;50;glavna jed;Pandžab;Severna
Keerai kootu;20;30;glavna jed;Tamil Nadu;Južna
Keerai masiyal;;;glavna jed;Tamil Nadu;Južna
Keerai poriyal;20;30;glavna jed;Tamil Nadu;Južna
Keerai sadam;10;20;glavna jed;Tamil Nadu;Južna
Keri no ras;10;10;glavna jed;Gudžarat;Zahodna
Khakhra;20;40;prigrizek;Gudžarat;Zahodna
Khaman;10;20;prigrizek;Gudžarat;Zahodna
Khandvi;20;45;prigrizek;Gudžarat;Zahodna
Khar;10;20;glavna jed;Asam;Severovzhodna
Kheer;10;40;sladica;;
